NodeID NodeType IfIndex Up Delay Bw DnodeID
0 0 1 1 1000 400000000000 64
1 0 1 1 1000 400000000000 64
2 0 1 1 1000 400000000000 64
3 0 1 1 1000 400000000000 64
4 0 1 1 1000 400000000000 64
5 0 1 1 1000 400000000000 64
6 0 1 1 1000 400000000000 64
7 0 1 1 1000 400000000000 64
8 0 1 1 1000 400000000000 65
9 0 1 1 1000 400000000000 65
10 0 1 1 1000 400000000000 65
11 0 1 1 1000 400000000000 65
12 0 1 1 1000 400000000000 65
13 0 1 1 1000 400000000000 65
14 0 1 1 1000 400000000000 65
15 0 1 1 1000 400000000000 65
16 0 1 1 1000 400000000000 66
17 0 1 1 1000 400000000000 66
18 0 1 1 1000 400000000000 66
19 0 1 1 1000 400000000000 66
20 0 1 1 1000 400000000000 66
21 0 1 1 1000 400000000000 66
22 0 1 1 1000 400000000000 66
23 0 1 1 1000 400000000000 66
24 0 1 1 1000 400000000000 67
25 0 1 1 1000 400000000000 67
26 0 1 1 1000 400000000000 67
27 0 1 1 1000 400000000000 67
28 0 1 1 1000 400000000000 67
29 0 1 1 1000 400000000000 67
30 0 1 1 1000 400000000000 67
31 0 1 1 1000 400000000000 67
32 0 1 1 1000 400000000000 68
33 0 1 1 1000 400000000000 68
34 0 1 1 1000 400000000000 68
35 0 1 1 1000 400000000000 68
36 0 1 1 1000 400000000000 68
37 0 1 1 1000 400000000000 68
38 0 1 1 1000 400000000000 68
39 0 1 1 1000 400000000000 68
40 0 1 1 1000 400000000000 69
41 0 1 1 1000 400000000000 69
42 0 1 1 1000 400000000000 69
43 0 1 1 1000 400000000000 69
44 0 1 1 1000 400000000000 69
45 0 1 1 1000 400000000000 69
46 0 1 1 1000 400000000000 69
47 0 1 1 1000 400000000000 69
48 0 1 1 1000 400000000000 70
49 0 1 1 1000 400000000000 70
50 0 1 1 1000 400000000000 70
51 0 1 1 1000 400000000000 70
52 0 1 1 1000 400000000000 70
53 0 1 1 1000 400000000000 70
54 0 1 1 1000 400000000000 70
55 0 1 1 1000 400000000000 70
56 0 1 1 1000 400000000000 71
57 0 1 1 1000 400000000000 71
58 0 1 1 1000 400000000000 71
59 0 1 1 1000 400000000000 71
60 0 1 1 1000 400000000000 71
61 0 1 1 1000 400000000000 71
62 0 1 1 1000 400000000000 71
63 0 1 1 1000 400000000000 71
64 1 1 1 1000 400000000000 0
64 1 2 1 1000 400000000000 1
64 1 3 1 1000 400000000000 2
64 1 4 1 1000 400000000000 3
64 1 5 1 1000 400000000000 4
64 1 6 1 1000 400000000000 5
64 1 7 1 1000 400000000000 6
64 1 8 1 1000 400000000000 7
64 1 16 1 1000 400000000000 79
64 1 15 1 1000 400000000000 78
64 1 14 1 1000 400000000000 77
64 1 13 1 1000 400000000000 76
64 1 12 1 1000 400000000000 75
64 1 11 1 1000 400000000000 74
64 1 10 1 1000 400000000000 73
64 1 9 1 1000 400000000000 72
65 1 1 1 1000 400000000000 8
65 1 2 1 1000 400000000000 9
65 1 3 1 1000 400000000000 10
65 1 4 1 1000 400000000000 11
65 1 5 1 1000 400000000000 12
65 1 6 1 1000 400000000000 13
65 1 7 1 1000 400000000000 14
65 1 8 1 1000 400000000000 15
65 1 16 1 1000 400000000000 79
65 1 15 1 1000 400000000000 78
65 1 14 1 1000 400000000000 77
65 1 13 1 1000 400000000000 76
65 1 12 1 1000 400000000000 75
65 1 11 1 1000 400000000000 74
65 1 10 1 1000 400000000000 73
65 1 9 1 1000 400000000000 72
66 1 3 1 1000 400000000000 18
66 1 2 1 1000 400000000000 17
66 1 1 1 1000 400000000000 16
66 1 4 1 1000 400000000000 19
66 1 5 1 1000 400000000000 20
66 1 6 1 1000 400000000000 21
66 1 7 1 1000 400000000000 22
66 1 8 1 1000 400000000000 23
66 1 16 1 1000 400000000000 79
66 1 15 1 1000 400000000000 78
66 1 14 1 1000 400000000000 77
66 1 13 1 1000 400000000000 76
66 1 12 1 1000 400000000000 75
66 1 11 1 1000 400000000000 74
66 1 10 1 1000 400000000000 73
66 1 9 1 1000 400000000000 72
67 1 1 1 1000 400000000000 24
67 1 2 1 1000 400000000000 25
67 1 3 1 1000 400000000000 26
67 1 4 1 1000 400000000000 27
67 1 5 1 1000 400000000000 28
67 1 6 1 1000 400000000000 29
67 1 7 1 1000 400000000000 30
